     72  0.18750000E-02  0.63795068E+00  0.53279464E+00  0.20794478E+01
     73  0.18750000E-02  0.64529451E+00  0.54141294E+00  0.20890627E+01
     74  0.18750000E-02  0.65260193E+00  0.55002599E+00  0.20985598E+01
     75  0.18750000E-02  0.65983951E+00  0.55859276E+00  0.21078952E+01
     76  0.18750000E-02  0.66700233E+00  0.56710322E+00  0.21170553E+01
     77  0.18750000E-02  0.67407672E+00  0.57554101E+00  0.21260307E+01
     78  0.18750000E-02  0.68106940E+00  0.58391156E+00  0.21348320E+01
     79  0.18750000E-02  0.68799620E+00  0.59223347E+00  0.21434869E+01
     80  0.18750000E-02  0.69487128E+00  0.60052477E+00  0.21520222E+01
     81  0.18750000E-02  0.70171749E+00  0.60881385E+00  0.21604713E+01
     82  0.18750000E-02  0.70855671E+00  0.61712908E+00  0.21688660E+01
     83  0.18750000E-02  0.71540152E+00  0.62548813E+00  0.21772266E+01
     84  0.18750000E-02  0.72226557E+00  0.63390787E+00  0.21855681E+01
     85  0.18750000E-02  0.72914995E+00  0.64239033E+00  0.21938939E+01
     86  0.18750000E-02  0.73605017E+00  0.65092934E+00  0.22021970E+01
     87  0.18750000E-02  0.74295796E+00  0.65951268E+00  0.22104659E+01
     88  0.18750000E-02  0.74985540E+00  0.66811654E+00  0.22186806E+01
     89  0.18750000E-02  0.75672905E+00  0.67672128E+00  0.22268237E+01
     90  0.18750000E-02  0.76356442E+00  0.68530692E+00  0.22348796E+01
     91  0.18750000E-02  0.77034927E+00  0.69385632E+00  0.22428351E+01
     92  0.18750000E-02  0.77707870E+00  0.70236207E+00  0.22506865E+01
     93  0.18750000E-02  0.78375183E+00  0.71082192E+00  0.22584343E+01
     94  0.18750000E-02  0.79037138E+00  0.71923896E+00  0.22660840E+01
     95  0.18750000E-02  0.79694360E+00  0.72762171E+00  0.22736447E+01
     96  0.18750000E-02  0.80347565E+00  0.73598001E+00  0.22811244E+01
     97  0.18750000E-02  0.80997569E+00  0.74432524E+00  0.22885333E+01
     98  0.18750000E-02  0.81644930E+00  0.75266547E+00  0.22958782E+01
     99  0.18750000E-02  0.82289877E+00  0.76100448E+00  0.23031623E+01
    100  0.18750000E-02  0.82932570E+00  0.76934475E+00  0.23103880E+01
    101  0.18750000E-02  0.83572697E+00  0.77768254E+00  0.23175536E+01
    102  0.18750000E-02  0.84209791E+00  0.78601151E+00  0.23246557E+01
    103  0.18750000E-02  0.84843309E+00  0.79432324E+00  0.23316910E+01
    104  0.18750000E-02  0.85472494E+00  0.80260671E+00  0.23386554E+01
    105  0.18750000E-02  0.86096666E+00  0.81085134E+00  0.23455450E+01
    106  0.18750000E-02  0.86715087E+00  0.81904587E+00  0.23523556E+01
    107  0.18750000E-02  0.87327055E+00  0.82717947E+00  0.23590836E+01
    108  0.18750000E-02  0.87931992E+00  0.83524267E+00  0.23657252E+01
