    134  -.35079502E+00  -.17510199E-01
    135  -.34888882E+00  -.15185567E-01
    136  -.34698670E+00  -.13081166E-01
    137  -.34508832E+00  -.11188512E-01
    138  -.34319333E+00  -.94973851E-02
    139  -.34130138E+00  -.79960965E-02
    140  -.33941217E+00  -.66726327E-02
    141  -.33752537E+00  -.55138451E-02
    142  -.33564070E+00  -.45068578E-02
    143  -.33375789E+00  -.36389003E-02
    144  -.33187671E+00  -.28974974E-02
    145  -.32999691E+00  -.22705343E-02
    146  -.32811831E+00  -.17468775E-02
    147  -.32624072E+00  -.13152139E-02
    148  -.32436399E+00  -.96459074E-03
    149  -.32248796E+00  -.68518672E-03
    150  -.32061253E+00  -.46752243E-03
    151  -.31873755E+00  -.30064257E-03
    152  -.31686295E+00  -.17570967E-03
    153  -.31498863E+00  -.85983577E-04
    154  -.31311454E+00  -.24296748E-04
    155  -.31124061E+00  0.16215933E-04
    156  -.30936681E+00  0.41887578E-04
    157  -.30749309E+00  0.57042020E-04
    158  -.30561944E+00  0.65566047E-04
    159  -.30374582E+00  0.69969102E-04
    160  -.30187222E+00  0.72202635E-04
    161  -.29999862E+00  0.73672656E-04
    162  -.29812502E+00  0.75535996E-04
    163  -.29625139E+00  0.78877035E-04
    164  -.29437772E+00  0.85454572E-04
    165  -.29250400E+00  0.97673236E-04
    166  -.29063019E+00  0.11868568E-03
    167  -.28875626E+00  0.15280756E-03
    168  -.28688218E+00  0.20529156E-03
    169  -.28500789E+00  0.28302452E-03
    170  -.28313333E+00  0.39318910E-03
    171  -.28125842E+00  0.54221680E-03
    172  -.27938309E+00  0.73787878E-03
    173  -.27750721E+00  0.99037488E-03
    174  -.27563067E+00  0.13091890E-02
    175  -.27375335E+00  0.17035184E-02
    176  -.27187508E+00  0.21834915E-02
    177  -.26999569E+00  0.27599357E-02
    178  -.26811501E+00  0.34435912E-02
    179  -.26623281E+00  0.42462530E-02
    180  -.26434887E+00  0.51799129E-02
    181  -.26246293E+00  0.62571308E-02
    182  -.26057472E+00  0.74905503E-02
    183  -.25868394E+00  0.88927594E-02
    184  -.25679031E+00  0.10475487E-01
    185  -.25489350E+00  0.12249891E-01
    186  -.25299319E+00  0.14225652E-01
    187  -.25108905E+00  0.16411104E-01
    188  -.24918071E+00  0.18813286E-01
    189  -.24726778E+00  0.21438895E-01
    190  -.24534987E+00  0.24292897E-01
    191  -.24342655E+00  0.27380522E-01
    192  -.24149733E+00  0.30707494E-01
    193  -.23956177E+00  0.34278249E-01
    194  -.23761944E+00  0.38096628E-01
    195  -.23566986E+00  0.42165794E-01
    196  -.23371260E+00  0.46488466E-01
    197  -.23174728E+00  0.51068188E-01
    198  -.22977355E+00  0.55900113E-01
    199  -.22779097E+00  0.60978764E-01
    200  -.22579915E+00  0.66298546E-01
    201  -.22379773E+00  0.71846336E-01
    202  -.22178621E+00  0.77612699E-01
    203  -.21976404E+00  0.83591952E-01
    204  -.21773078E+00  0.89774239E-01
    205  -.21568590E+00  0.96156739E-01
    206  -.21362881E+00  0.10274107E+00
    207  -.21155916E+00  0.10952389E+00
    208  -.20947655E+00  0.11650847E+00
    209  -.20738056E+00  0.12370530E+00
    210  -.20527098E+00  0.13110584E+00
    211  -.20314751E+00  0.13870301E+00
    212  -.20100990E+00  0.14647255E+00
    213  -.19885800E+00  0.15437715E+00
    214  -.19669127E+00  0.16239936E+00
    215  -.19450963E+00  0.17049561E+00
    216  -.19231280E+00  0.17863727E+00
    217  -.19010004E+00  0.18681851E+00
    218  -.18787136E+00  0.19501367E+00
    219  -.18562637E+00  0.20324743E+00
    220  -.18336429E+00  0.21155692E+00
    221  -.18108522E+00  0.21994739E+00
    222  -.17878849E+00  0.22847205E+00
    223  -.17647400E+00  0.23712945E+00
    224  -.17414163E+00  0.24593153E+00
    225  -.17179077E+00  0.25489480E+00
    226  -.16942184E+00  0.26398089E+00
    227  -.16703424E+00  0.27318913E+00
    228  -.16462749E+00  0.28249360E+00
    229  -.16220156E+00  0.29187217E+00
    230  -.15975527E+00  0.30134198E+00
    231  -.15728808E+00  0.31088547E+00
    232  -.15479921E+00  0.32050360E+00
    233  -.15228796E+00  0.33018165E+00
    234  -.14975384E+00  0.33993575E+00
